id_plot,latitude,longitude,altitude,aspect,MAT,MAP,slope,Forest_types,age,origin,sucstage,area,Root_C_stock,Tree_C_stock,Herb_layer_C_stock,Litter_layer_C_stock,Shrub_layer_C_stock,Total_aboveground_C_stock,Total_soil_C_stock,Total_belowground_C_stock,Total_forest_C_stock,AM_tree_C_stock,EcM_tree_C_stock,species_richness3cm,species_richness10cm,Hii_shannon_diversity3cm,all_tree_number_per_600_3cm,tree_number_area_per_600m2_10cm
AH26,30.08146944,117.3653972,133,SW,16.5,1502,40,Broadleaved_forest,80,natural,late,600,39.39501238,106.767915,0.047077167,0.444639667,0.137346542,67.69467282,55.40680208,94.80181445,162.4964873,7.416699998,99.35121495,13,11,5.274,67,49
SC34,32.23605556,102.7843333,3648,NW,2.2,844,25,Mixed_forest,169,natural,late,600,28.4437864,169.5793462,0.034757069,0.298997005,0.067977773,141.3062724,55.48393394,83.92772034,225.2339928,NA,169.5793462,4,4,2.681,34,25
AH30,29.62313889,117.545575,187,NW,16.2,1735,16,Broadleaved_forest,75,natural,late,600,81.41404373,176.6157136,0.1323515,0.321797,0.170610667,95.6752427,55.73082528,137.144869,232.8201117,5.719977695,170.8957359,11,6,3.02,56,43
SC233,31.11920278,100.9582361,3241,NE,7.5,636,18,Broadleaved_forest,67,natural,middle,600,7.488657466,85.5814932,0.020458734,0.379583241,0.074026576,78.26134762,56.5953958,64.08405326,142.3454009,12.54269368,73.03879953,4,4,3.207,109,76
AH110,29.62736667,118.4746,480,SW,14.7,1774,34,Broadleaved_forest,34,natural,middle,600,9.951850549,56.68955755,0.019015167,0.383756167,0.02103225,46.79878667,56.6114033,66.56325385,113.3620405,4.175796953,52.51376058,11,7,4.883,104,75
ZJ131,27.62989444,119.0695528,396,SW,17.6,1816,25,Mixed_forest,62,natural,late,600,12.29531779,159.815182,NA,0.347925074,0.057072607,147.6340094,56.72021771,69.0155355,216.6495449,14.37521936,145.4399627,9,6,4.185,52,46
GZ97,25.61277778,104.6183056,1747,NW,14.4,1273,23,Coniferous_forest,28,natural,early,600,6.642557034,36.96975064,0.21127,0.10701,0.1054375,30.74933861,57.00645414,63.64901118,94.39834978,NA,36.96975064,2,2,1,93,57
ZJ186,29.46959167,119.2701944,69,NE,17.3,1482,20,Mixed_forest,25,natural,early,600,6.41165941,64.9334738,NA,0.620295,0.220687907,58.9631902,57.22342199,63.6350814,122.5982716,13.43344133,51.50003244,12,6,5.826,119,53
ZJ189,29.47299444,119.2374056,84,NW,16.7,1529,40,Broadleaved_forest,30,natural,middle,600,7.839151611,62.43590765,NA,0.343516186,0.166084875,54.92892579,57.62441474,65.46356635,120.3924921,5.729510387,56.70639724,5,5,3.222,56,47
AH9,31.08246667,116.1917667,935,SE,11.5,1636,11,Broadleaved_forest,20,natural,early,600,14.02316186,54.90619885,0.001,0.15264902,0.228947523,41.34193203,57.73498664,71.7581485,113.1000805,5.12308685,46.75661537,30,10,7.687,268,56
SC70,31.58423611,105.6749083,440,NW,17.1,978,31,Mixed_forest,78,planted,middle,600,13.18428812,39.26149659,0.125486046,0.120796047,0.152824811,26.50834414,57.93893636,71.12322448,97.63156862,37.36682073,1.894675864,6,3,2.14,86,23
ZJ157,29.20934167,119.6244444,595,SW,14.2,1667,30,Broadleaved_forest,56,natural,middle,600,10.55870736,114.3248127,NA,0.206491723,0.187714816,104.141535,58.05422243,68.61292979,172.7544648,112.1872828,2.13752995,11,6,6.982,45,27
AH33,29.86696667,117.835825,360,SE,15.9,1665,36,Coniferous_forest,27,planted,late,600,8.06809469,49.12138768,0.030978834,0.201765167,0.106178188,41.29662819,58.38813422,66.45622891,107.7528571,40.83766906,8.28371862,6,5,2.632,64,57
